Time,x,y,orientation,tau_y,tau_z
0.0,0.0,0.0,0.0,-1000.0,1000.0
0.01,0.0,0.0,0.0,-1000.0,1000.0
0.02,-0.01,0.0,0.01,-1000.0,1000.0
0.03,-0.029999000008333304,-0.0001999966666833333,0.03,-1000.0,1000.0
0.04,-0.059985501020802925,-0.001099861672758203,0.06,-1000.0,1000.0
0.05,-0.0999135226182111,-0.003498421931935987,0.1,-1000.0,1000.0
0.06,-0.14966373088211238,-0.008490092764277394,0.15000000000000002,-1000.0,1000.0
0.07,-0.2089899955582749,-0.01745638071269335,0.21000000000000002,-1000.0,1000.0
0.08,-0.2774521595889653,-0.032048573701920324,0.28,-896.2899361408773,1000.0
0.09,-0.35433659465382694,-0.05415702558704943,0.36000000000000004,-650.1935865908445,1000.0
0.1,-0.43856730878484107,-0.08586170658180753,0.45000000000000007,-372.795498674032,1000.0
0.11,-0.5286120190201088,-0.12935825999293055,0.55,-61.71584366970446,1000.0
0.12,-0.6138644712260594,-0.18162698288599646,0.65,162.78440178351943,1000.0
0.13,-0.6934728510809649,-0.24214562345960042,0.75,398.1599201250529,1000.0
0.14,-0.7636640495980649,-0.30753549551736237,0.85,596.9749719112458,842.3553787684322
0.15,-0.8204070192305747,-0.3721278740957762,0.95,732.483148789411,666.0956728728871
0.16,-0.8646012016276992,-0.43392824930771995,1.05,860.325084677404,495.73298367052826
0.17,-0.8974291441075133,-0.4911577040280267,1.1500000000000001,978.3125918873816,333.8125670994668
0.18,-0.920294797206031,-0.5422509361079624,1.2500000000000002,1000.0,181.56732488599587
0.19,-0.9347921817308366,-0.5858818249241454,1.3500000000000003,1000.0,39.10920945993652
0.2,-0.9426712521458674,-0.6209848308823176,1.4500000000000004,1000.0,-94.22873166889562
0.21,-0.94580147931429,-0.6467719326336359,1.5500000000000005,1000.0,-219.5628867041604
0.22,-0.9461337056338526,-0.6627448699178566,1.6476442817082781,1000.0,-312.3046725086635
0.23,-0.9456748840493183,-0.6687036234385949,1.7397994912489518,1000.0,-362.9395749373692
0.24,-0.9463516541151799,-0.6647373400397963,1.824147083976909,1000.0,-378.643066856537
0.25,-0.9498666596162665,-0.6511613937006548,1.8994211873314317,1000.0,-369.8799347551527
0.26,-0.9576200816939056,-0.6284233597109674,1.965229214014541,1000.0,-346.00887684636075
0.27,-0.9706948331545295,-0.5970122664662648,2.0217902423287715,1000.0,-314.19723892987906
0.28,-0.9898829756142044,-0.5573903879837143,2.069701048721843,980.5896760262465,-279.48898381796727
0.29,-1.0157313301481674,-0.509951872045928,2.109756924141667,850.56713273458,-245.21246418097675
0.3,-1.048591076244136,-0.4550040834284064,2.1428255749660425,705.9613879791166,-213.43060797943858
0.31,-1.0886629690357135,-0.39276472324128736,2.1697639141858933,548.1173926829454,-185.33656836556122
0.32,-1.1360346462204098,-0.32336810293406465,2.1913664882062585,378.0244360577086,-161.5764157253472
0.33,-1.1907092904460532,-0.2468754748637106,2.2083356480174845,196.3943626554734,-142.51244976212485
0.34,-1.2502312839815435,-0.1665191914406884,2.2212653974355767,47.99271242598575,-128.51111665346292
0.35000000000000003,-1.3107872598496448,-0.0869392078602557,2.230632335609616,-41.316667970569476,-119.67522234365325
0.36,-1.3720859890463748,-0.007929931196904536,2.2367864958673187,-131.03599818962337,-115.89005498191396
0.37,-1.4332316149246964,0.06988842147778966,2.23994877556643,-209.60220802843946,-117.17084711986958
0.38,-1.4925909071004544,0.14494358121081444,2.240213803890993,-262.5040736393493,-123.55768901251318
0.39,-1.5487184812136812,0.21587384278455218,2.23754956103756,-290.4110614378033,-134.98203673296683
0.4,-1.6005983196439202,0.281796276067613,2.231796375958814,-298.259188333799,-151.14498469740712
0.41000000000000003,-1.6476409061088975,0.34228498345375735,2.2226686399617437,-291.4271261708865,-171.35107567818264
0.42,-1.689605749355892,0.3972730340146758,2.2097622793472382,-274.5378190840631,-194.2836649412647
0.43,-1.7265124929376212,0.44694979568004567,2.192572141840778,-251.20928963075383,-217.78165019605188
0.44,-1.7585620587868567,0.4916746986859359,2.1705249127107864,-224.12970132397163,-238.76469655436063
0.45,-1.7860731764029776,0.5319110174585773,2.1430331423258933,-195.2276602278577,-253.50058292076412
0.46,-1.8094336363823746,0.5681777658737657,2.109572254527141,-165.85650029611827,-258.3137623848195
0.47000000000000003,-1.8290635158073996,0.601016449420399,2.06977385215537,-136.96421766427713,-250.5685912295279
0.48,-1.8453870947059399,0.6309693112324686,2.023517605723978,-109.23720199418882,-229.50031253322328
0.49,-1.8588104478503311,0.6585657714104227,1.9709971445118484,-83.20977891146751,-196.47950006670678
0.5,-1.8697025998292596,0.6843137164141635,1.912739175486388,-59.33379683013618,-154.6101474469457
0.51,-1.8783795548811064,0.7086923667363316,1.84956921895926,-38.007461917942194,-107.905908601108
0.52,-1.8850920478643836,0.7321440721641308,1.7825340087459585,-19.56989736679531,-60.41272359155929
0.53,-1.8900188612777087,0.7550637748510749,1.712801150817629,-4.274394661971037,-15.547643996059435
0.54,-1.893267497188671,0.777786734243286,1.6415579747995106,7.743838080411214,24.24933656383299
0.55,-1.894882850240802,0.8005767067694055,1.5699261076814908,16.49136630714971,57.58399308869633
0.56,-1.8948627997467682,0.8236174429052534,1.4989004739775669,22.122819405818994,83.98759219930518
0.5700000000000001,-1.8931780764930504,0.847009883514624,1.4293144401008602,24.92746857570114,103.70150081757848
0.58,-1.8897929680288594,0.8707761169988267,1.3618280960291362,25.29942858579526,117.43899824217632
0.59,-1.884683605686238,0.8948696048331333,1.2969342894778517,23.698214105585393,126.16956529686175
0.6,-1.877851520124292,0.9191899610807738,1.2349764578826217,20.607208266407806,130.94769187438268
0.61,-1.8693314314030423,0.9435999827247871,1.1761728654198131,16.496405451460518,132.7917506467114
0.62,-1.8591934327111308,0.9679426743170957,1.120642965253864,11.79351844008747,132.60856877451008
0.63,-1.8475405668322167,0.9920564975775921,1.0684328588540828,6.865102056708272,131.15462039174722
0.64,-1.8345032022248158,1.0157877512728728,1.0195379666736644,2.0073566953794586,129.0236153686365
0.65,-1.820231652410038,1.0389996404668886,0.9739219400030396,-2.5550007425318544,126.65119927188799
0.66,-1.804888274935549,1.0615781052364823,0.9315315037166307,-6.663984772907794,124.32938305152179
0.67,-1.7886399648731592,1.0834348072665418,0.8923073474120191,-10.219928675017131,122.22544735113617
0.68,-1.7716516224369205,1.1045078335058958,0.8561914256836956,-13.171332738106223,120.40199739488875
0.6900000000000001,-1.754080884770201,1.1247607104177437,0.8231311401391503,-15.504444673922313,118.83639333649643
0.7000000000000001,-1.7360741936814748,1.1441802761895152,0.7930809045294773,-17.233571983115013,117.43890114164924
0.71,-1.717764126125564,1.162773870605547,0.7660015787532167,-18.392709008575725,116.06962310390756
0.72,-1.6992678318563337,1.1805662012051752,0.7418582255054974,-19.02873158527658,114.55462226109259
0.73,-1.6806863874976021,1.1975961473058363,0.7206166128353757,-19.19617429484264,112.70170393295042
0.74,-1.6621048729435353,1.2139136795614434,0.7022388657217814,-18.953448939065744,110.316118368744
0.75,-1.6435929915798464,1.2295770053087463,0.6866786612065108,-18.360271823643703,107.21607499574726
0.76,-1.6252060805470703,1.244649998907136,0.6738763596504588,-17.476025656712977,103.24751062490856
0.77,-1.6069863844187695,1.259199939671405,0.6637544599693005,-16.358775966801133,98.2971545171909
0.78,-1.5889644910573169,1.2732955552134715,0.6562137480537649,-15.064682069485436,92.30270916851747
0.79,-1.5711608498260001,1.287005352420638,0.651130465001159,-13.647581772930284,85.25901184897377
0.8,-1.5535873090175503,1.300396209632459,0.6483547496777661,-12.15858182104208,77.21938492755065
0.81,-1.5362486215651208,1.3135322000555638,0.6477105096505975,-10.645547386881793,68.2919629203389
0.8200000000000001,-1.5191438767597534,1.3264736167615503,0.6489967542466177,-9.152447916784556,58.63146742478287
0.8300000000000001,-1.502267822101028,1.3392761727651257,0.6519902979156464,-7.718576589213777,48.427522268586934
0.84,-1.4856120449348238,1.3519903548456085,0.6564496282702947,-6.377709674504439,37.891016887219855
0.85,-1.4691659893942923,1.3646609161081544,0.6621196466816577,-5.157304262742324,27.240157321185233
0.86,-1.4529177911810314,1.3773264988359528,0.6687369405152012,-4.077844629645222,16.68769265032011
0.87,-1.4368549211971522,1.3900193849448828,0.6760352382817743,-3.1524386899272283,6.430438500775071
0.88,-1.4209646386947496,1.4027653753637916,0.6837507283646054,-2.386739735439569,-3.3582575347317345
0.89,-1.4052342646987692,1.4155838012219248,0.6916269794099559,-1.7792308875332008,-12.532945744736734
0.9,-1.3896512959481602,1.4284876685416592,0.699419274016938,-1.321867709824387,-20.97764231738197
0.91,-1.37420338741735,1.4414839344188095,0.7068982449803017,-1.00103535942333,-28.60506153679676
0.92,-1.3588782367589478,1.4545739070941428,0.713852774885731,-0.7987461275924979,-35.35418649270006
0.93,-1.3436634062622457,1.4677537558630944,0.7200921782527402,-0.693984542514503,-41.18687954866318
0.9400000000000001,-1.3285461171157475,1.4810151105271785,0.725447726957432,-0.6641011842657196,-46.0841671544796
0.9500000000000001,-1.3135130472795797,1.494345725045789,0.7297736036734072,-0.6861616647168667,-50.04270595753535
0.96,-1.2985501588031427,1.5077301769176044,0.7329473762105203,-0.7381710941281483,-53.07177924026374
0.97,-1.2836425738011343,1.5211505729692945,0.7348700810986951,-0.800113420066495,-55.19100977779523
0.98,-1.2687745113575744,1.534587233660994,0.7354659915058633,-0.8547660211818631,-56.42882620419787
0.99,-1.2539292910656523,1.5480193314417487,0.7346821266685867,-0.8882702204059623,-56.8215978980694
1.0,-1.2390894032337678,1.5614254636127436,0.7324875411762051,-0.8904561618609419,-56.41326620916931
1.01,-1.224236641274869,1.5747841459953271,0.7288724157363717,-0.8549348596138984,-55.255251215640236
1.02,-1.2093522885222927,1.5880742198642805,0.7238469586413092,-0.7789809835543782,-53.4064029079353
1.03,-1.1944173495963537,1.6012751705659876,0.7174401202658557,-0.6632373910120171,-50.93278983622196
1.04,-1.1794128152950472,1.6143673615682348,0.7096981218177038,-0.5112770698287861,-47.90716954713592
1.05,-1.1643199495675,1.6273321920713888,0.7006828036236462,-0.3290605817775072,-44.40805361682687
1.06,-1.149120587222442,1.6401521895531739,0.6904698061909103,-0.12432772736774567,-40.518354366434025
1.07,-1.1337974314381172,1.6528110506311966,0.6791466074177537,0.09403872500595156,-36.323669224196834
1.08,-1.1183343407472095,1.6652936444129616,0.6668104497854362,0.3166416538557648,-31.91031286419632
1.09,-1.1027165959082361,1.6775859921485734,0.6535662004225139,0.5341585163335605,-27.363240630625185
1.1,-1.0869311379377924,1.6896752356623548,0.6395241932379866,0.737863381291648,-22.76401718625898
1.11,-1.0709667695981122,1.7015496049280194,0.6247981050376937,0.9200607592605436,-18.188973431472142
1.12,-1.054814313857414,1.7131983925193592,0.6095029164077443,1.0744166663534616,-13.707667120571143
1.1300000000000001,-1.038466724301458,1.7246119397861164,0.5937530034420082,1.196179536816544,-9.381724569785256
1.1400000000000001,-1.0219191441783522,1.7357816367414771,0.5776603987982578,1.2822907313874587,-5.264099098844222
1.1500000000000001,-1.0051689126680947,1.7466999350458938,0.5613332510402628,1.331390968329882,-1.3987423106574415
1.16,-0.9882155190042603,1.757360371326827,0.5448745008047966,1.343734569770083,2.179348586908336
1.17,-0.9710605071241462,1.7677575965177277,0.528380782011564,1.321027615564896,5.443767883197781
1.18,-0.9537073354536117,1.7778874059938865,0.5119415469330041,1.2662087296047009,8.376096968298107
1.19,-0.9361611981121282,1.7877467650200594,0.49563840605152415,1.1831922554707663,10.965136677590692
1.2,-0.9184288151391908,1.7973338243374,0.47954466759425163,1.0765931306247367,13.206050921682033
1.21,-0.9005182002151708,1.8066479214929463,0.4637250575539189,0.9514510840087365,15.099486698380415
1.22,-0.8824384147390867,1.8156895646153064,0.4482355987866282,0.8129691814478868,16.650722600634005
1.23,-0.864199317036842,1.8244603966194455,0.43312362718679703,0.6662785763694501,17.868883451846116
1.24,-0.84581131494912,1.8329631391445886,0.4184279236519817,0.5162379264362027,18.766244392604836
1.25,-0.8272851291615126,1.8412015167762514,0.40417894220346257,0.36727260053384114,19.35763484655506
1.26,-0.8086315734830933,1.8491801631886247,0.39039911686475853,0.2232557505519317,19.659942103127825
1.27,-0.7898613569541088,1.856904511710272,0.3771032323972183,0.0874307111992767,19.691706171990187
1.28,-0.7709849112673288,1.8643806734372135,0.36429884648225636,-0.03762789852252979,19.472792166720488
1.29,-0.7520122456094331,1.8716153063913037,0.3519867532215941,-0.15001854351019972,19.024123598497656
1.3,-0.7329528297418652,1.878615479366379,0.3401614797650999,-0.24848780527122472,18.36745927223862
1.31,-0.7138155050000228,1.8853885340513268,0.32881180939856813,-0.33238182999739685,17.525197545358807
1.32,-0.6946084219320181,1.8919419488068767,0.31792132551384233,-0.40158010324358173,16.52019405558508
1.33,-0.6753390025426573,1.8982832071426494,0.3074689715677505,-0.4564173048939857,15.375582172427348
1.34,-0.6560139245587682,1.904419673532404,0.29742962247304827,-0.49759859885112334,14.114588934803972
1.35,-0.6366391247803371,1.9103584787537597,0.28777466293265674,-0.5261131399610264,12.760342723939665
1.36,-0.6172198184107706,1.9161064164733692,0.2784725681156353,-0.5431498959424186,11.335672082946523
1.37,-0.5977605312454375,1.9216698523426066,0.2694894818667124,-0.5500191342536098,9.862897716798358
1.3800000000000001,-0.5782651417133507,1.9270546464390517,0.26078978741986314,-0.5480821537106273,8.3636216618731
1.3900000000000001,-0.5587369299838758,1.932266089496495,0.2523366654159338,-0.5386910808502954,6.8585188590222
1.4000000000000001,-0.5391786316405097,1.9373088530172693,0.24409263395355132,-0.5231398280661992,5.367136926253979
1.41,-0.5195924937604961,1.942186953058158,0.2360200654626444,-0.5026266454852379,3.9077098895303752
1.42,-0.4999803315983775,1.9469037272249894,0.22808167539489382,-0.47822810816100514,2.496991113407787
1.43,-0.48034358443280173,1.9514618241996229,0.2202409780743815,-0.4508838773970236,1.1501098154816591
1.44,-0.46068336948186234,1.9558632049535887,0.21246270553170438,-0.42139116873616267,-0.11954551077580922
1.45,-0.44100053310958287,1.9601091546719296,0.2047131857344143,-0.39040755461527965,-1.3004145748138907
1.46,-0.42129569882518997,1.9642003043153784,0.19696067729935482,-0.35846052791193017,-2.3828225861118324
1.47,-0.4015693118114584,1.9681366606855255,0.189175658499925,-0.3259621507522237,-3.359007289714522
1.48,-0.38182167990580906,1.971917643822825,0.18133106913584235,-0.2932271041965251,-4.2231165148394645
1.49,-0.3620530110980287,1.97554213055801,0.17340250458951686,-0.26049252868798334,-4.971177697922147
1.5,-0.34226344770392053,1.9790085030506588,0.16536836213032038,-0.2279381892477339,-5.601041363232362
1.51,-0.32245309742926603,1.982314701181207,0.15720994022867585,-0.1957056984633443,-6.112300919247593
1.52,-0.3026220615589778,1.9854582777115715,0.1489114922929505,-0.16391576790817375,-6.5061913841460655
