property,cos_yaw,sin_yaw,vx,vy,roll,pitch,diff_x,diff_y,diff_z,diff_yaw,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
mu,-0.018151659030769835,0.8664327956561558,-0.0006264105177077341,0.009319700006290515,-0.007226123167893312,-0.014912877901490847,2.476945335598098e-06,2.254136000503235e-06,-0.000504192174624143,-0.0011825478342793456,-0.7698393766748443,-0.01074136371642448,-0.020836895892306726,-0.09499410580612694
sigma,0.3666073519058699,0.3384958485913702,1.6769070749710957,1.667765057040561,0.27137498756075923,0.2793576635321919,0.01962318270373385,0.0185952523849035,0.016541673734061072,0.005874527966654644,0.1510676745976755,0.8542657007183038,0.7367814576305918,0.4117479392067432
min,-0.9999998701266121,-0.9999999098263358,-6.227165,-8.120481,-1.43702,-1.127594,-0.14805199999999996,-0.1434420000000003,-0.19286600000000043,-0.1254010000000001,-0.998981,-3.0,-3.0,-2.541458
max,0.9999999996875,0.999999999996427,6.941233,8.898169,0.941013,1.164656,0.19059500000000007,0.22619299999999942,0.11658800000000002,0.05217000000000027,-0.075517,3.0,3.0,1.616409
""
type_scaling,1
num_inputs,10
num_outputs,4
