property,sin,cos,diff_x,diff_y,diff_yaw,w_y,w_z
mu,0.013329657732218487,0.042708236448712064,6.450776940736974e-05,2.1957836600765972e-05,-0.00011277902693318738,4.991827024074261,-0.1127790269331877
sigma,0.7116512047722482,0.7011076147865686,0.002105951911334679,0.0021339819544728853,0.05195490633585049,8.660833461505192,51.954906335850495
min,-0.9999999999998476,-0.9999999999933388,-0.005999124596471006,-0.0059994986212554,-0.08999985770273122,-9.99998581378166,-89.99985770273123
max,0.999999999994254,1.0,0.005999026776564165,0.005999088939683261,0.08999996991324466,19.999994992027947,89.99996991324468
""
type_scaling,1
num_inputs,5
num_outputs,2
