controller,phase,pos_rmse,head_rmse,effort,time_ms
LoRA-AGEM,"Phase 1
Clean",0.06881695092671757,0.03902772455777745,15.142263612344708,0.20661774955200132
LoRA-AGEM,"Phase 2
Noise",0.047054056800979946,0.04835321290502718,32.19984905743847,0.20702624869989647
LoRA-AGEM,"Phase 3
Current",0.1049766809844801,0.04888595716395967,33.30951229416112,0.20692831644037152
LoRA-AGEM,"Phase 4
All",0.4706032904599644,0.17563987905868972,39.47093452258937,0.20692136251836932
LoRA-AGEM,"Phase 5
Curr+Noise",0.12217849059237487,0.04791387002683438,32.15434784102608,0.20806991434029432
LoRA-AGEM,"Phase 6
Noise",0.049571452887629534,0.052269384661228185,32.408373632493834,0.20525128896859735
LoRA-AGEM,"Phase 7
Clean",0.042405016568847424,0.04377551132609248,14.170094113585279,0.20506373252907592
