controller,phase,pos_rmse,head_rmse,effort,time_ms
PID,"Phase 1
Clean",0.691983762606727,0.9666077287974753,25.971991328431468,0.058758667248011
PID,"Phase 2
Noise",0.7762129211132884,0.8297077287407673,33.59046499751195,0.060807015760305304
PID,"Phase 3
Current",0.7838546563129661,0.8526584932044439,32.70159499521286,0.057602730768932096
PID,"Phase 4
All",5.677245533615783,0.9172988510485054,53.68471501886875,0.05923692117437323
PID,"Phase 5
Curr+Noise",3.9866996605830542,0.8757912803425744,42.4817605019967,0.05908978671769491
PID,"Phase 6
Noise",0.7918148405983099,0.826206323004826,32.40782164689963,0.056896187403822324
PID,"Phase 7
Clean",0.7667099634935282,0.8841580763939435,27.24546224705076,0.055457874132142274
